,id,name,sku,master_product
0,1229461823,Promo Keju Mozarella Anchor 2kg/Mozarella cheese Halal mui Limited,3131/1061856983632232448/55,0
1,1266781390,Anchor Red Cheddar cheese Repack 28 slice Melt/lumer meleleh,3131/1067460367361949696/55,1
2,1212657538,"Keju Mozarella Saputo 3,5kg Gojek Grab / Mozzarella Cheese BENZI",3131/1095385076497825792/55,2
3,1199295844,Keju Cheddar Meg 165gr,3131/1121933626945748992/55,3
4,1213084979,Cream Cheese / Krim keju Murray Goulburn 2KG Australia Murah,3131/1073473865787293696/55,4
5,1274759117,Anchor Red Cheddar cheese Repack 28 slice Melt/lumer meleleh,3131/1067460367361949696/55,1
6,1222655176,Unik Anchor Keju Red Cheddar Cheese Slice 84 lembar 1KG Berkualitas,3131/1155581465252773888/55,5
7,1212880194,Anchor Red Cheddar cheese Repack 28 slice Melt/lumer meleleh,3131/1067460367361949696/55,1
8,1275173974,Wincheez 250gr,3131/1165960780867878912/55,6
9,1883453832,Jual Keju Anchor Mozarella 2Kg Cheese Mozzarella Murah Murah,3131/1063224167075856384/55,7
10,1267104656,Promo Prochiz Gold 2 KG Limited,3131/1063077722985250816/55,8
11,1266887860,Limit edition KEJU KRAFT CHEDDAR MARTABAK 2 KG Berkualitas,3131/1063219979776344064/55,9
12,1229857214,Keju mozzarella Anchor 1kg /Repack 1kg Mozzarella Termulur Limited,3131/1061861318399279104/55,10
13,1267079193,KEJU MOZARELLA - MOZZARELLA CHEESE 1 KG DAIRYMONT HALAL MULUR Murah,3131/1114230020662542336/55,11
14,1274590939,KEJU WINCHEEZ 250gr / Keju Cheddar Winchees / Keju Winchiz BEST SELLE,3131/1085733773643530240/55,12
15,1190745191,Prochiz gold 170grm Flash SALE..!! Serbu Segera..!!,3131/1075656653059833856/55,13
16,1275200501,Keju mozzarella Rainbow / pelangi 230 gr,3131/1086463268876894208/55,14
17,810134597,Jual Keju Cheddar Cheese Kraft Martabak 2kg Berkualitas,3131/1063219614112727040/55,15
18,1222564225,Anchor Orange Cheddar Slice / Keju Slice Anchor (1KG -84 Slices)Keju,3131/1112869903597748224/55,16
19,1275024624,Keju belcube dan KIRI keju MPASI bayi plain cheese ECER / SATUAN,3131/1068715982675689472/55,17
20,1229735876,Dairy Partners Mozarella Shredded / Mozarella Parut 1kg Berkualitas,3131/1082975725086752768/55,18
21,1266528474,Keju Mozarella / Mozzarella Cheese Anchor 1 KG Import New Zealand,3131/1072748334448033792/55,19
22,1229789445,Anchor Orange Cheddar Slice / Keju Slice Anchor (1KG -84 Slices)Keju,3131/1112869903597748224/55,16
23,1212853005,KEJU MOZARELLA - MOZZARELLA CHEESE 1 KG DAIRYMONT HALAL MULUR Limited,3131/1129556525189873664/55,20
